open,volume,weightedAverage,close,date,quoteVolume,high,low
3964.63000059,16.3078075,3972.84351271,3974.1077445,1553197800,0.00410482,3974.1077445,3964.63000059
3974.1077445,0,3974.1077445,3974.1077445,1553198100,0,3974.1077445,3974.1077445
3974.1077445,0,3974.1077445,3974.1077445,1553198400,0,3974.1077445,3974.1077445
3973.79827889,1699.82209675,3973.79827889,3973.79827889,1553198700,0.42775752,3973.7982789,3973.79827889
3973.79727889,99.34493197,3973.79727889,3973.79727889,1553199000,0.025,3973.79727889,3973.79727889
3970,30.76978434,3973.45814009,3974.1077445,1553199300,0.00774383,3974.1077445,3970
3966.09590009,58.77018642,3972.91010001,3974.10774446,1553199600,0.01479273,3974.10774446,3966.09590009
3974.10374435,30.78114236,3974.10374435,3974.10374435,1553199900,0.00774543,3974.10374435,3974.10374435
3974.10374435,0,3974.10374435,3974.10374435,1553200200,0,3974.10374435,3974.10374435
3974.10374435,0,3974.10374435,3974.10374435,1553200500,0,3974.10374435,3974.10374435
3974.10774441,26.61603024,3974.10774441,3974.10774441,1553200800,0.00669736,3974.10774441,3974.10774441
3974.10774444,34.83138525,3974.10774444,3974.10774444,1553201100,0.00876458,3974.10774444,3974.10774444
3966.36315518,90.00845499,3973.92006719,3974.1077445,1553201400,0.02264979,3974.1077445,3966.36315518
3974.1077445,0,3974.1077445,3974.1077445,1553201700,0,3974.1077445,3974.1077445
3974.1077445,0,3974.1077445,3974.1077445,1553202000,0,3974.1077445,3974.1077445
3975,14.09759534,3975.56593567,3975.78821467,1553202300,0.00354606,3975.78821467,3975
3975.78821467,660.70483466,3975.78821467,3975.78821467,1553202600,0.1661821,3975.78821467,3975.78821467
3975.78821467,849.31262547,3977.65775164,3978.99999999,1553202900,0.21352079,3979,3974.2066223
3978.99999999,1551.5117014,3978.99532397,3975.78821479,1553203200,0.38992549,3978.99999999,3975.78821479
3978.99999999,4774.05318148,3978.99999999,3979,1553203500,1.19981231,3979,3978.99999999
3978.99999999,1238.92419987,3978.99999999,3979,1553203800,0.31136572,3979,3978.99999999
3978.99999995,1368.21763511,3977.78190935,3979,1553204100,0.34396497,3979,3975.78821468
3979,2445.56126642,3979.3373612,3980,1553204400,0.61456495,3980,3979
3976.81251373,289.21236842,3980.37380361,3980.99899994,1553204700,0.0726596,3980.99899994,3976.81251373
3975.00000032,2.439696,3975.00000032,3975.00000032,1553205000,0.00061376,3975.00000032,3975.00000032
3980.99899989,692.95708945,3980.99899997,3980.99899998,1553205300,0.17406613,3980.99899998,3980.99899989
3979.27388919,2528.11115256,3978.53541154,3975.00000041,1553205600,0.63543764,3979.27388919,3975.00000041
3975.00000043,10465.88446737,3980.9060566,3980.99799957,1553205900,2.62902071,3980.99799957,3975.00000043
3980.99799957,0,3980.99799957,3980.99799957,1553206200,0,3980.99799957,3980.99799957
3981,260.3368063,3981.99600418,3982,1553206500,0.06537847,3982,3981
3979.12870095,8.17947614,3981.17152511,3982,1553206800,0.00205454,3982,3979.12870095
3982,0,3982,3982,1553207100,0,3982,3982
3982,1371.8384218,3982,3982,1553207400,0.3445099,3982,3982
3982,2390.36629441,3982.04273046,3983.73184548,1553207700,0.60028645,3983.73184548,3982
3983.73184547,40.61358844,3983.73184547,3983.73184547,1553208000,0.01019486,3983.73184547,3983.73184547
3983.73184548,1044.65466231,3983.66068552,3981.31757529,1553208300,0.26223485,3983.73184548,3981.31757529
3975.87067828,245.38946468,3981.26590686,3981.31757528,1553208600,0.06163604,3981.31757532,3975.87067828
3975,575.281398,3975,3975,1553208900,0.14472488,3975,3975
3975,0,3975,3975,1553209200,0,3975,3975
3979.69339796,55.79414732,3979.69339796,3979.69339796,1553209500,0.01401971,3979.69339796,3979.69339796
3977.34669837,115.89069511,3977.34669828,3977.34669826,1553209800,0.02913769,3977.34669837,3977.34669825
3975,585.40689996,3975.11298932,3977.34669834,1553210100,0.14726799,3977.34669834,3975
3977.34669833,107.86642315,3977.3197558,3976.00000001,1553210400,0.02712038,3977.34669833,3976.00000001
3976.00000003,511.48341496,3976.00000003,3976.00000003,1553210700,0.12864271,3976.00000003,3976.00000003
3976.00000003,0,3976.00000003,3976.00000003,1553211000,0,3976.00000003,3976.00000003
3979.77911106,331.48054729,3979.71471748,3979.61054841,1553211300,0.08329254,3979.91189709,3979.52713312
3976.0000002,468.28099076,3976.13534831,3979.46994565,1553211600,0.1177729,3979.46994565,3976.0000002
3979.46994565,0,3979.46994565,3979.46994565,1553211900,0,3979.46994565,3979.46994565
3976,386.78291045,3976.68938577,3976,1553212200,0.09726254,3977.95787864,3976
3976,4310.92413099,3975.31232363,3975,1553212500,1.08442401,3976,3975
3975,0,3975,3975,1553212800,0,3975,3975
3975,0,3975,3975,1553213100,0,3975,3975
3975.00000001,137.21234925,3975.00000001,3975.00000001,1553213400,0.03451883,3975.00000001,3975.00000001
